Fold,Accuracy,Training_Time,Prediction_Time,Var_Smoothing_Effect,Class_Prior_0,Class_Prior_1,Class_Prior_2
21,0.813953488372093,0.0,0.0,1.5004673064156276e-11,0.35119047619047616,0.32142857142857145,0.3273809523809524
22,0.8095238095238095,0.0,0.0,1.529235579962978e-11,0.3254437869822485,0.3431952662721893,0.33136094674556216
23,0.6428571428571429,0.0014514923095703125,0.0,1.4703131314945745e-11,0.3431952662721893,0.3431952662721893,0.3136094674556213
24,0.6904761904761905,0.0,0.0,1.4751236829830056e-11,0.3431952662721893,0.33727810650887574,0.31952662721893493
25,0.8333333333333334,0.0,0.0,1.5334198125558825e-11,0.3431952662721893,0.33727810650887574,0.31952662721893493
26,0.8372093023255814,0.005579471588134766,0.0,1.509663774899151e-11,0.3630952380952381,0.3392857142857143,0.2976190476190476
27,0.7619047619047619,0.0013866424560546875,0.0,1.5588111061752344e-11,0.3431952662721893,0.3609467455621302,0.2958579881656805
28,0.7619047619047619,0.0,0.0,1.4812090616379262e-11,0.3076923076923077,0.3431952662721893,0.34911242603550297
29,0.7619047619047619,0.0,0.0,1.5118477275224792e-11,0.34911242603550297,0.33727810650887574,0.3136094674556213
30,0.8571428571428571,0.0,0.0,1.4375353352412114e-11,0.3431952662721893,0.30177514792899407,0.35502958579881655
31,0.6511627906976745,0.0,0.0,1.4671239992162497e-11,0.35119047619047616,0.3273809523809524,0.32142857142857145
32,0.9047619047619048,0.003911256790161133,0.0,1.556225504411297e-11,0.33727810650887574,0.3727810650887574,0.28994082840236685
33,0.7857142857142857,0.0,0.0,1.4814588560212982e-11,0.33136094674556216,0.31952662721893493,0.34911242603550297
34,0.8333333333333334,0.0,0.0,1.4848079697748478e-11,0.35502958579881655,0.33727810650887574,0.3076923076923077
35,0.8333333333333334,0.004778385162353516,0.0,1.526456803655312e-11,0.33136094674556216,0.3254437869822485,0.3431952662721893
36,0.7906976744186046,0.0017762184143066406,0.0,1.5854468053921254e-11,0.36904761904761907,0.3333333333333333,0.2976190476190476
37,0.5952380952380952,0.0010237693786621094,0.0,1.4827623953344998e-11,0.3076923076923077,0.34911242603550297,0.3431952662721893
38,0.8333333333333334,0.0017616748809814453,0.0,1.479149671425813e-11,0.3431952662721893,0.33136094674556216,0.3254437869822485
39,0.8571428571428571,0.0,0.00201416015625,1.507368495673816e-11,0.3609467455621302,0.3254437869822485,0.3136094674556213
40,0.8571428571428571,0.0,0.0,1.4620679411968416e-11,0.3254437869822485,0.3431952662721893,0.33136094674556216
41,0.7906976744186046,0.002197742462158203,0.0,1.519682813684138e-11,0.3333333333333333,0.3392857142857143,0.3273809523809524
42,0.7857142857142857,0.0027511119842529297,0.0018374919891357422,1.5027615276932597e-11,0.33136094674556216,0.3254437869822485,0.3431952662721893
43,0.7142857142857143,0.0024580955505371094,0.0,1.5055045241235245e-11,0.35502958579881655,0.3254437869822485,0.31952662721893493
44,0.9285714285714286,0.0,0.0023250579833984375,1.4976652583614207e-11,0.3431952662721893,0.33136094674556216,0.3254437869822485
45,0.7142857142857143,0.0,0.0,1.468429883758341e-11,0.3431952662721893,0.3609467455621302,0.2958579881656805
46,0.8604651162790697,0.0,0.0,1.542144275108725e-11,0.3392857142857143,0.3333333333333333,0.3273809523809524
47,0.8333333333333334,0.002169370651245117,0.0,1.5393217394418538e-11,0.33136094674556216,0.34911242603550297,0.31952662721893493
48,0.7857142857142857,0.0007076263427734375,0.0,1.4953814155150835e-11,0.34911242603550297,0.31952662721893493,0.33136094674556216
49,0.7380952380952381,0.0,0.0,1.4662529694264582e-11,0.3609467455621302,0.3431952662721893,0.2958579881656805
50,0.5952380952380952,0.0,0.0,1.477031709251536e-11,0.3254437869822485,0.33727810650887574,0.33727810650887574
